里程碑编号,里程碑名称,任务编号,任务名称,责任人,执行人,工作项状态,计划开始时间,计划完成时间,计划工期,备注,实际开始时间,实际完成时间,实际工期
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.13.1,MVCUS1321-C5海关专用填卡台（1 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.14.1,MVCUS1330-B4海关自愿放弃物品投放箱（1 台）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.2.1.1,智能上锁机（ 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.2.2.1,MVCM1022-100（双视角）X射线检测系统（1 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.2.2.2,X光机操作台（1 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.2.2.3,MVCM1022-100 （双视角）X光机木箱（ 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.2.2.4,工控机（1 台）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.2.2.5,MVCM1022-100 （双视角）X光机木托（ 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.2.3.1,光电开关（接线）（3 个）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.2.3.2,反射板（3 块）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.2.3.3,智能上锁机补件（1 套）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.2.4.1,智能上锁机（1 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.2.5,无源标签 2.00 盒,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.3.1,人脸识别系统软件 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.3.2,人脸识别应用服务器 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：华为、浪潮、联想注意事项：国产服务器，考虑国产中间件，国产数据库，国产操作系统等第三方软件,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.3.3,人脸识别数据库服务器 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：华为、浪潮、联想注意事项：国产服务器，考虑国产中间件，国产数据库，国产操作系统等第三方软件,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.3.4,人脸识别算法服务器 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：华为、浪潮、联想注意事项：国产服务器，考虑国产中间件，国产数据库，国产操作系统等第三方软件华为算法服务器参数：12*3.5inch盘位主机；标配2颗kunpeng 920-5220(32核-2.6GHz)；2*32G 内存；可支持16个内存插槽；标配4*GE以太网＋双口万兆；9540  RAID卡；1*4T SATA  硬盘，可支持配置12块3.5inch托架的SATA/SAS硬盘；4*Atlas300I duo；标配2个2000W交流电源；无DVD；l导轨；2U机架式。,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.4.1,判图工作站 6.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：长城、华为、联想,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.4.2,集中审图升级 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.5.1,国内转国际海关信息显示LED条屏 3.69 m²,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.5.2,信息发布工作站 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：长城、华为、联想,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.5.3,信息发布系统管理软件 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.1,半球网络高清摄像机 21.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：大华、海康威视、宇视,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.2,人脸识别半球摄像机 11.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：大华、海康威视、宇视注意事项：招标要求为枪型人脸摄像机，与货物名称半球不一致,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.3,枪型网络高清摄像机 23.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：大华、海康威视、宇视,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.4,智能球型摄像机 5.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：大华、海康威视、宇视,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.5,拾音器 17.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.6,拾音器电源 17.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.7,网络存储设备 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：大华、海康威视、宇视,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.8,光纤收发器 10.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.9,4芯光缆（室内） 1480.00 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：泛达、康宁、康普,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.10,配线RVV2*1.0mm2 1700.00 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：德特威勒、耐克森、赛普,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.11,配线RYYP4*1.0mm2 360.00 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：德特威勒、耐克森、赛普,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.12.1,网线（16 箱）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.13.1,金属圆管（700 米）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.6.14,行李分拣区设备箱 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,注意事项：设备箱需根据现场实际情况调整,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.1,信息模块（六类） 164.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：泛达、康宁、康普,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.2,双口信息面板 94.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：泛达、康宁、康普,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.3,信息模块（光纤） 24.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.4.1,网线（24 箱）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.5,4芯光缆（室内） 2000.00 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：泛达、康宁、康普,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.6.1,12芯室内光缆（2500 米）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.7.1,网络跳线（112 条）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.8.1,LC-LC光纤跳线（30 条）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.9.1,光纤配线架（3 个）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.10.1,网络配线架（14 个）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.10.2,理线器（14 个）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.11.1,金属圆管（4000 米）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.12.1,镀锌桥架（20 米）,,杨智,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.7.13,支架制作安装 48.00 kg,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.8.1,24口接入交换机 7.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：浪潮、华三、华为,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.8.2,24口接入交换机（POE） 7.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：浪潮、华三、华为,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.9.1,远程查验系统软件 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.9.2,应用服务器 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：华为、浪潮、联想注意事项：国产服务器，考虑国产中间件，国产数据库，国产操作系统等第三方软件,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.9.3,“中心”远程查验工作站 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：长城、华为、联想,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.9.4.1,MVCUS1315-C 海关行李智能查验台（带翻译机）（3 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.9.4.2,MVCUS1315-C 海关行李智能查验台-胶垫（ 件）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.10.1,系统软件 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.10.2,海关智能储物柜（主柜） 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.10.3,海关智能储物柜（副柜） 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,注意事项：我们的小柜数量是18个,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.10.4,普通货架 10.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.10.5,系统应用服务器 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：华为、浪潮、联想注意事项：国产服务器，考虑国产中间件，国产数据库，国产操作系统等第三方软件,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.10.6,二维码扫描仪 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.10.7,条码打印机 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.10.8,热敏纸 1.00 卷,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.10.9,A4打印机 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.10.10,业务工作站 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：长城、华为、联想,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.11.1,AR+测温智能眼镜 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.11.2,智能远程监控终端 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.12.1,快拼采样室（拼装式采样间） 3.00 座,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.12.2,半球网络高清摄像机 30.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：大华、海康威视、宇视,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.12.3,信息模块（六类） 60.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：泛达、康宁、康普,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.12.4,双口信息面板 15.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：泛达、康宁、康普,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.12.5,隔离负压室设备箱 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.12.6,门禁控制器 5.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.12.7,双门电控锁 9.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.12.8,读卡器 9.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.12.9,开门按钮 9.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.12.10,波破开关 9.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.13.1,拆除 1.00 项,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.13.2,信息系统等级保护 1.00 项,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.13.3,系统整体调试 1.00 系统,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.1,半球网络高清摄像机 23.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：大华、海康威视、宇视,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.2,智能球型摄像机 6.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：大华、海康威视、宇视,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.3,门禁控制器 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.4,双门电控锁 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.5,读卡器 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.6,开门按钮 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.7,波破开关 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.8,网络存储设备 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：大华、海康威视、宇视,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.9,配线RVV2*1.0mm2 1200.00 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：德特威勒、耐克森、赛普,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.10,配线RYYP6*1.00mm2 1000.00 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：德特威勒、耐克森、赛普,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.11.1,网线（18 箱）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.12.1,金属圆管（700 米）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.1.13,配管KBG32 80.00 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.2.1.1,网络模块（200 个）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.2.2.1,网络面板（100 个）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.2.3.1,网线（72 箱）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.2.4.1,48芯室内光缆（400 米）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.2.5.1,12芯室内光缆（120 米）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.2.6,设备网接入交换机 1.00 套,张同永,,逾期,2025-12-05,2025-12-10,6,甲方品牌库：浪潮、华三、华为,,,
3.4.1.4,边检设施设备工程,3.4.1.4.2.7,设备箱 1.00 台,张同永,,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.2.8.1,网络跳线（157 条）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.2.9.1,LC-LC光纤跳线（26 条）,,杨智,逾期,,,,,,,
